index,season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possession,a_possession,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
39,13-14,5,Werder Bremen,Eintracht Frankfurt,0,3,0,2,12,14,109.63,110.73,288,616,202,527,86,89,0.7,0.86,0.33,0.67,0.41,0.59,14,13,12,14,0,4,5,10
40,13-14,5,1. FSV Mainz 05,FC Schalke 04,0,1,0,1,14,10,117.73,114.79,556,464,504,387,52,77,0.91,0.83,0.54,0.46,0.52,0.48,15,17,17,13,1,3,1,5
41,13-14,5,FC Augsburg,SC Freiburg,2,1,0,0,15,5,116.03,117.62,469,373,370,277,99,96,0.79,0.74,0.56,0.44,0.57,0.43,16,21,20,14,1,1,10,3
42,13-14,5,Borussia Dortmund,Hamburger SV,6,2,2,1,33,4,115.63,110.55,495,380,385,261,110,119,0.78,0.69,0.56,0.44,0.6,0.4,12,20,19,11,7,0,7,2
43,13-14,5,TSG Hoffenheim,Bor. Mönchengladbach,2,1,1,0,10,16,126.59,120.04,313,803,218,714,95,89,0.7,0.89,0.3,0.7,0.42,0.58,16,7,7,15,4,4,2,3
44,13-14,5,Eintracht Braunschweig,1. FC Nürnberg,1,1,0,1,23,9,113.84,112.62,355,299,239,213,116,86,0.67,0.71,0.55,0.45,0.55,0.45,17,18,18,17,6,2,6,3
45,13-14,6,Bor. Mönchengladbach,Eintracht Braunschweig,4,1,2,0,13,11,116.65,118.39,629,407,551,338,78,69,0.88,0.83,0.6,0.4,0.55,0.45,11,13,13,10,3,6,0,1
46,13-14,6,Hannover 96,FC Augsburg,2,1,0,0,16,13,110.16,111.55,431,251,327,157,104,94,0.76,0.63,0.63,0.37,0.53,0.47,21,18,17,19,1,1,8,1
47,13-14,6,VfL Wolfsburg,TSG Hoffenheim,2,1,1,1,15,7,116.48,116.59,470,299,373,212,97,87,0.79,0.71,0.61,0.39,0.6,0.4,15,20,20,15,3,3,6,6
48,13-14,6,1. FC Nürnberg,Borussia Dortmund,1,1,0,1,10,18,120.12,119.85,450,501,380,404,70,97,0.84,0.81,0.48,0.52,0.46,0.54,7,12,12,7,2,3,3,9
49,13-14,6,1. FSV Mainz 05,Bayer 04 Leverkusen,1,4,0,3,14,14,113.88,116.07,435,415,371,334,64,81,0.85,0.8,0.52,0.48,0.42,0.58,14,11,10,13,1,1,4,4
50,13-14,6,Hamburger SV,Werder Bremen,0,2,0,1,19,16,114.45,117.03,450,280,331,188,119,92,0.74,0.67,0.61,0.39,0.56,0.44,15,18,18,14,5,0,4,6
51,13-14,6,FC Schalke 04,Bayern München,0,4,0,2,10,14,109.89,116.39,319,747,246,652,73,95,0.77,0.87,0.31,0.69,0.45,0.55,7,6,6,7,3,0,5,5
52,13-14,6,SC Freiburg,Hertha BSC,1,1,1,1,8,8,119.15,111.94,467,442,378,369,89,73,0.81,0.83,0.52,0.48,0.4,0.6,22,12,12,22,0,0,9,2
53,13-14,6,VfB Stuttgart,Eintracht Frankfurt,1,1,1,1,13,16,120.62,116.98,400,443,310,367,90,76,0.78,0.83,0.48,0.52,0.5,0.5,11,13,13,11,5,1,4,7
54,13-14,7,FC Augsburg,Bor. Mönchengladbach,2,2,1,1,20,9,117.41,114.67,469,446,384,365,85,81,0.82,0.82,0.51,0.49,0.45,0.55,9,13,13,8,0,0,3,3
55,13-14,7,Borussia Dortmund,SC Freiburg,5,0,2,0,28,2,117.25,112.97,614,397,515,299,99,98,0.84,0.75,0.6,0.4,0.52,0.48,13,11,10,12,3,0,9,0
56,13-14,7,Bayern München,VfL Wolfsburg,1,0,0,0,11,4,115.6,119.74,591,243,519,171,72,72,0.88,0.7,0.7,0.3,0.48,0.52,12,24,23,12,3,3,8,2
57,13-14,7,Bayer 04 Leverkusen,Hannover 96,2,0,2,0,19,8,115.25,112.89,410,429,334,352,76,77,0.81,0.82,0.48,0.52,0.52,0.48,12,17,17,12,1,2,4,9
58,13-14,7,TSG Hoffenheim,FC Schalke 04,3,3,1,3,14,12,111.65,109.28,382,425,288,332,94,93,0.75,0.78,0.47,0.53,0.52,0.48,21,24,22,21,3,3,2,7
59,13-14,7,Hertha BSC,1. FSV Mainz 05,3,1,0,1,9,8,119.92,118.37,511,295,427,201,84,94,0.84,0.68,0.63,0.37,0.49,0.51,27,20,20,25,4,3,5,5
60,13-14,7,Eintracht Frankfurt,Hamburger SV,2,2,1,1,9,11,115.44,119.74,466,360,380,287,86,73,0.82,0.8,0.56,0.44,0.47,0.53,21,16,16,21,4,2,9,6
61,13-14,7,Werder Bremen,1. FC Nürnberg,3,3,2,1,15,17,118.17,119.25,418,390,307,286,111,104,0.73,0.73,0.51,0.49,0.47,0.53,16,9,8,16,2,2,4,4
62,13-14,7,Eintracht Braunschweig,VfB Stuttgart,0,4,0,1,10,14,115.2,117.96,439,476,325,372,114,104,0.74,0.78,0.48,0.52,0.51,0.49,11,19,19,10,5,1,8,3
63,13-14,8,Hannover 96,Hertha BSC,1,1,1,0,14,10,113.86,116.4,374,347,287,268,87,79,0.77,0.77,0.51,0.49,0.52,0.48,18,21,20,17,0,2,7,9
64,13-14,8,FC Schalke 04,FC Augsburg,4,1,2,1,12,10,112.97,106.66,717,295,648,220,69,75,0.9,0.75,0.7,0.3,0.52,0.48,9,10,10,9,2,3,2,3
65,13-14,8,Bor. Mönchengladbach,Borussia Dortmund,2,0,0,0,6,27,117.03,118.05,429,586,338,502,91,84,0.79,0.86,0.43,0.57,0.57,0.43,8,9,8,8,0,1,1,9
66,13-14,8,VfB Stuttgart,Werder Bremen,1,1,1,1,20,6,117.55181818181818,116.43848484848485,580,257,497,164,83,93,0.86,0.64,0.69,0.31,0.58,0.42,11,11,10,9,3,0,13,1
67,13-14,8,VfL Wolfsburg,Eintracht Braunschweig,0,2,0,1,17,7,117.28,122.7,495,243,414,159,81,84,0.84,0.65,0.67,0.33,0.57,0.43,18,26,24,17,5,2,7,2
68,13-14,8,1. FSV Mainz 05,TSG Hoffenheim,2,2,0,2,18,14,122.99,120.67,441,374,325,258,116,116,0.74,0.69,0.54,0.46,0.5,0.5,23,16,16,22,9,4,7,1
69,13-14,8,Bayer 04 Leverkusen,Bayern München,1,1,1,1,5,27,114.89,111.38,191,709,122,641,69,68,0.64,0.9,0.22,0.78,0.46,0.54,15,8,7,15,2,1,2,14
70,13-14,8,1. FC Nürnberg,Hamburger SV,0,5,0,1,7,16,115.34,117.29,486,472,412,403,74,69,0.85,0.85,0.51,0.49,0.55,0.45,16,15,14,15,1,1,5,4
71,13-14,8,SC Freiburg,Eintracht Frankfurt,1,1,0,0,13,11,121.38,112.24,440,396,366,305,74,91,0.83,0.77,0.53,0.47,0.56,0.44,12,20,20,11,1,3,7,10
72,13-14,9,TSG Hoffenheim,Bayer 04 Leverkusen,1,2,0,1,20,12,121.41,119.66,497,439,421,355,76,84,0.85,0.81,0.52,0.48,0.54,0.46,13,19,18,13,2,2,8,10
73,13-14,9,Borussia Dortmund,Hannover 96,1,0,1,0,18,10,123.4,121.32,432,399,323,313,109,86,0.75,0.78,0.52,0.48,0.55,0.45,11,15,15,11,2,1,10,2
74,13-14,9,Bayern München,1. FSV Mainz 05,4,1,0,1,19,12,115.29,116.46,832,225,727,148,105,77,0.87,0.66,0.78,0.22,0.56,0.44,12,14,14,11,2,7,8,5
75,13-14,9,Werder Bremen,SC Freiburg,0,0,0,0,18,11,119.37,122.26,403,416,303,329,100,87,0.75,0.79,0.49,0.51,0.46,0.54,22,12,11,21,1,5,7,8
76,13-14,9,Eintracht Braunschweig,FC Schalke 04,2,3,1,1,14,15,121.3,119.79,292,630,212,542,80,88,0.73,0.86,0.32,0.68,0.51,0.49,13,21,18,13,4,2,1,9
77,13-14,9,Eintracht Frankfurt,1. FC Nürnberg,1,1,0,0,15,11,116.6,121.17,529,332,438,261,91,71,0.83,0.79,0.61,0.39,0.47,0.53,22,14,12,21,1,3,6,1
78,13-14,9,Hertha BSC,Bor. Mönchengladbach,1,0,1,0,5,13,120.7,117.73,422,558,323,467,99,91,0.77,0.84,0.44,0.56,0.52,0.48,15,14,13,13,3,3,7,5
79,13-14,9,Hamburger SV,VfB Stuttgart,3,3,1,2,22,9,115.67,116.62,521,467,448,390,73,77,0.86,0.84,0.53,0.47,0.56,0.44,17,12,11,16,4,2,10,0
80,13-14,9,FC Augsburg,VfL Wolfsburg,1,2,1,2,11,12,120.65,122.49,404,369,297,281,107,88,0.74,0.76,0.53,0.47,0.4,0.6,21,18,17,21,4,1,3,2
81,13-14,10,VfB Stuttgart,1. FC Nürnberg,1,1,1,1,10,7,118.52,121.55,500,306,400,227,100,79,0.8,0.74,0.61,0.39,0.53,0.47,11,15,15,11,4,3,2,4
82,13-14,10,Bayern München,Hertha BSC,3,2,1,1,13,10,117.04,120.48,647,313,549,231,98,82,0.85,0.74,0.67,0.33,0.47,0.53,10,13,13,10,3,2,4,5
83,13-14,10,FC Schalke 04,Borussia Dortmund,1,3,0,1,12,10,109.73,114.86,542,411,422,311,120,100,0.78,0.76,0.57,0.43,0.52,0.48,11,12,12,10,2,2,2,2
84,13-14,10,Bayer 04 Leverkusen,FC Augsburg,2,1,1,1,24,11,114.97,118.0,444,310,358,220,86,90,0.81,0.71,0.58,0.42,0.61,0.39,7,9,9,7,3,0,13,7
85,13-14,10,Hannover 96,TSG Hoffenheim,1,4,0,2,11,10,102.04,112.75,271,617,186,541,85,76,0.69,0.88,0.32,0.68,0.41,0.59,21,11,10,20,2,7,8,1
86,13-14,10,1. FSV Mainz 05,Eintracht Braunschweig,2,0,1,0,9,6,116.08,117.89,359,487,277,395,82,92,0.77,0.81,0.41,0.59,0.51,0.49,25,17,17,25,4,2,0,8
87,13-14,10,VfL Wolfsburg,Werder Bremen,3,0,1,0,19,8,115.3,118.23,423,373,341,270,82,103,0.81,0.72,0.53,0.47,0.55,0.45,12,17,15,12,6,3,5,4
88,13-14,10,SC Freiburg,Hamburger SV,0,3,0,1,9,17,115.58,114.5,455,348,357,259,98,89,0.78,0.74,0.57,0.43,0.51,0.49,14,12,12,14,2,1,4,4
89,13-14,10,Bor. Mönchengladbach,Eintracht Frankfurt,4,1,2,1,13,11,116.22,113.55,709,429,624,357,85,72,0.88,0.83,0.61,0.39,0.4,0.6,9,13,12,9,3,4,1,3
90,13-14,11,Borussia Dortmund,VfB Stuttgart,6,1,2,1,17,3,120.16,117.97,535,478,428,370,107,108,0.8,0.77,0.53,0.47,0.45,0.55,15,4,4,15,3,1,6,1
91,13-14,11,1. FC Nürnberg,SC Freiburg,0,3,0,0,21,14,119.85,124.26,482,336,401,248,81,88,0.83,0.74,0.6,0.4,0.52,0.48,10,15,15,10,4,1,9,5
92,13-14,11,TSG Hoffenheim,Bayern München,1,2,1,1,7,17,119.65,116.59,347,656,264,589,83,67,0.76,0.9,0.37,0.63,0.45,0.55,20,16,16,20,3,2,6,4
93,13-14,11,Hamburger SV,Bor. Mönchengladbach,0,2,0,1,17,8,119.96,120.15,547,526,459,441,88,85,0.84,0.84,0.52,0.48,0.52,0.48,12,12,12,11,0,2,7,2
94,13-14,11,Eintracht Braunschweig,Bayer 04 Leverkusen,1,0,0,0,17,17,118.39,113.47,327,453,255,371,72,82,0.78,0.82,0.43,0.57,0.49,0.51,12,21,20,11,5,4,4,4
95,13-14,11,Hertha BSC,FC Schalke 04,0,2,0,1,18,11,120.35,120.7,521,370,427,265,94,105,0.82,0.72,0.58,0.42,0.47,0.53,21,18,17,21,1,4,6,4
96,13-14,11,Eintracht Frankfurt,VfL Wolfsburg,1,2,1,1,10,10,114.13,117.44,442,393,338,297,104,96,0.76,0.76,0.54,0.46,0.42,0.58,14,16,15,13,4,1,8,1
97,13-14,11,FC Augsburg,1. FSV Mainz 05,2,1,1,0,19,11,125.42,121.07,511,330,424,254,87,76,0.83,0.77,0.61,0.39,0.48,0.52,13,21,19,13,1,2,6,3
98,13-14,11,Werder Bremen,Hannover 96,3,2,2,2,12,18,115.12,115.85,356,300,251,183,105,117,0.71,0.61,0.54,0.46,0.5,0.5,19,24,24,17,10,3,3,6
99,13-14,12,Hannover 96,Eintracht Braunschweig,0,0,0,0,19,7,111.28,115.98,421,319,318,210,103,109,0.76,0.66,0.57,0.43,0.46,0.54,27,16,15,27,0,1,6,2
100,13-14,12,Bayern München,FC Augsburg,3,0,2,0,23,7,119.19,123.8,737,263,675,207,62,56,0.92,0.79,0.72,0.28,0.56,0.44,12,11,10,12,0,4,9,4
101,13-14,12,FC Schalke 04,Werder Bremen,3,1,0,1,18,9,118.02,121.67,545,321,426,221,119,100,0.78,0.69,0.62,0.38,0.52,0.48,16,20,20,15,2,1,6,2
102,13-14,12,Bayer 04 Leverkusen,Hamburger SV,5,3,2,1,20,11,116.02,116.79,387,435,299,327,88,108,0.77,0.75,0.46,0.54,0.53,0.47,12,19,18,11,1,0,3,6
103,13-14,12,VfL Wolfsburg,Borussia Dortmund,2,1,0,1,10,12,114.63,116.52,346,469,239,349,107,120,0.69,0.74,0.43,0.57,0.55,0.45,14,19,18,14,2,3,5,2
104,13-14,12,TSG Hoffenheim,Hertha BSC,2,3,0,1,9,12,119.36,118.85,499,349,383,244,116,105,0.77,0.7,0.59,0.41,0.49,0.51,22,20,20,22,3,3,3,3
105,13-14,12,Bor. Mönchengladbach,1. FC Nürnberg,3,1,0,1,12,19,120.84,127.3,547,331,471,250,76,81,0.86,0.76,0.61,0.39,0.46,0.54,8,18,17,7,1,2,6,3
106,13-14,12,1. FSV Mainz 05,Eintracht Frankfurt,1,0,0,0,20,14,121.99,117.5,305,533,236,438,69,95,0.77,0.82,0.37,0.63,0.53,0.47,21,18,18,20,4,2,6,6
107,13-14,12,SC Freiburg,VfB Stuttgart,1,3,0,2,19,10,128.05,123.74,510,458,424,378,86,80,0.83,0.83,0.52,0.48,0.51,0.49,7,13,12,7,1,7,7,2
108,13-14,13,VfB Stuttgart,Bor. Mönchengladbach,0,2,0,1,8,19,120.42,120.02,532,559,423,453,109,106,0.8,0.81,0.49,0.51,0.42,0.58,14,10,10,13,1,2,1,5
109,13-14,13,1. FC Nürnberg,VfL Wolfsburg,1,1,0,1,11,23,121.44,118.77,364,424,262,314,102,110,0.72,0.74,0.46,0.54,0.51,0.49,20,17,16,20,2,0,3,5
110,13-14,13,FC Augsburg,TSG Hoffenheim,2,0,2,0,16,8,119.71,118.08,466,383,339,282,127,101,0.73,0.74,0.54,0.46,0.58,0.42,14,25,24,14,3,0,5,4
111,13-14,13,Eintracht Braunschweig,SC Freiburg,0,1,0,0,22,8,119.48,122.51,521,468,431,364,90,104,0.83,0.78,0.53,0.47,0.48,0.52,14,17,15,14,4,1,6,1
112,13-14,13,Eintracht Frankfurt,FC Schalke 04,3,3,0,2,15,13,117.06,112.27,393,457,300,372,93,85,0.76,0.81,0.47,0.53,0.48,0.52,22,20,19,21,2,3,5,1
113,13-14,13,Hertha BSC,Bayer 04 Leverkusen,0,1,0,1,12,4,121.86,119.04,523,309,429,218,94,91,0.82,0.71,0.63,0.37,0.46,0.54,15,15,14,15,1,4,9,1
114,13-14,13,Borussia Dortmund,Bayern München,0,3,0,0,7,10,119.85,117.28,335,591,241,497,94,94,0.72,0.84,0.37,0.63,0.54,0.46,7,13,12,7,1,5,2,3
115,13-14,13,Hamburger SV,Hannover 96,3,1,1,1,19,12,114.6,115.02,399,342,292,257,107,85,0.73,0.75,0.52,0.48,0.55,0.45,19,24,22,19,1,4,7,3
116,13-14,13,Werder Bremen,1. FSV Mainz 05,2,3,0,2,24,18,117.58,120.41,455,257,348,174,107,83,0.76,0.68,0.64,0.36,0.54,0.46,18,22,21,18,0,4,8,8
117,13-14,14,VfL Wolfsburg,Hamburger SV,1,1,1,1,20,18,118.06,115.54,474,316,363,230,111,86,0.77,0.73,0.59,0.41,0.55,0.45,16,12,10,15,0,2,2,3
118,13-14,14,Bayern München,Eintracht Braunschweig,2,0,2,0,19,8,113.88,115.99,898,246,811,172,87,74,0.9,0.7,0.78,0.22,0.62,0.38,9,17,16,9,2,0,6,3
119,13-14,14,Bayer 04 Leverkusen,1. FC Nürnberg,3,0,1,0,17,16,117.05,119.54,409,391,323,298,86,93,0.79,0.76,0.51,0.49,0.52,0.48,18,14,11,18,1,0,4,5
120,13-14,14,TSG Hoffenheim,Werder Bremen,4,4,2,2,18,13,121.39,119.24,436,336,326,207,110,129,0.75,0.62,0.56,0.44,0.45,0.55,28,20,20,24,7,6,3,9
121,13-14,14,1. FSV Mainz 05,Borussia Dortmund,1,3,0,0,12,16,121.74,123.15,406,511,308,406,98,105,0.76,0.79,0.45,0.55,0.51,0.49,11,15,15,10,4,3,6,5
122,13-14,14,Hertha BSC,FC Augsburg,0,0,0,0,9,2,119.16,119.77,545,347,446,241,99,106,0.82,0.69,0.61,0.39,0.53,0.47,16,22,21,15,3,3,6,3
123,13-14,14,FC Schalke 04,VfB Stuttgart,3,0,1,0,12,10,117.85,115.35,369,479,263,382,106,97,0.71,0.8,0.43,0.57,0.48,0.52,15,17,16,15,6,3,5,2
124,13-14,14,Hannover 96,Eintracht Frankfurt,2,0,1,0,13,12,115.48,110.66,419,355,330,259,89,96,0.79,0.73,0.54,0.46,0.55,0.45,20,18,18,20,6,1,7,7
125,13-14,14,Bor. Mönchengladbach,SC Freiburg,1,0,0,0,12,9,117.77,123.96,700,414,600,324,100,90,0.86,0.78,0.62,0.38,0.56,0.44,8,13,12,6,7,3,6,4
126,13-14,15,1. FC Nürnberg,1. FSV Mainz 05,1,1,1,0,16,12,120.97,119.55,504,329,394,232,110,97,0.78,0.71,0.61,0.39,0.55,0.45,6,11,9,6,5,4,14,3
127,13-14,15,Bor. Mönchengladbach,FC Schalke 04,2,1,2,1,19,9,116.35,114.6,573,475,501,393,72,82,0.87,0.83,0.55,0.45,0.47,0.53,11,17,15,11,2,2,8,1
128,13-14,15,VfB Stuttgart,Hannover 96,4,2,2,2,13,14,120.26,111.28,388,427,256,299,132,128,0.66,0.7,0.48,0.52,0.5,0.5,15,20,17,14,4,2,3,3
129,13-14,15,Werder Bremen,Bayern München,0,7,0,3,9,17,115.99,112.28,247,712,162,640,85,72,0.66,0.9,0.26,0.74,0.56,0.44,13,15,15,12,3,2,2,7
130,13-14,15,Hamburger SV,FC Augsburg,0,1,0,1,8,18,114.03,121.3,435,396,335,296,100,100,0.77,0.75,0.53,0.47,0.47,0.53,17,17,17,14,0,1,7,11
131,13-14,15,Eintracht Frankfurt,TSG Hoffenheim,1,2,0,0,13,11,114.74,117.45,528,366,407,252,121,114,0.77,0.69,0.59,0.41,0.5,0.5,21,27,26,21,2,3,4,4
132,13-14,15,Borussia Dortmund,Bayer 04 Leverkusen,0,1,0,1,13,8,117.96,115.28,438,354,339,254,99,100,0.77,0.72,0.55,0.45,0.49,0.51,18,25,23,17,2,2,3,4
133,13-14,15,SC Freiburg,VfL Wolfsburg,0,3,0,2,13,17,122.22,120.87,519,320,396,210,123,110,0.76,0.66,0.61,0.39,0.43,0.57,10,16,16,10,3,3,4,7
134,13-14,15,Eintracht Braunschweig,Hertha BSC,0,2,0,1,13,16,112.28,112.38,411,346,286,234,125,112,0.7,0.68,0.54,0.46,0.57,0.43,18,24,22,17,3,1,8,2
