season,matchday,h_team,a_team,h_goals,a_goals,h_ht_goals,a_ht_goals,h_shots_on_goal,a_shots_on_goal,h_distance,a_distance,h_total_passes,a_total_passes,h_success_passes,a_success_passes,h_failed_passes,a_failed_passes,h_pass_ratio,a_pass_ratio,h_possesion,a_possesion,h_tackle_ratio,a_tackle_ratio,h_fouls,a_fouls,h_got_fouled,a_got_fouled,h_offside,a_offside,h_corners,a_corners
13-14,2,Bor. Mönchengladbach ,Hannover 96 ,3,0,1,0,17,16,114 km,"113,14 km",646,418,559,335,87,83,87%,80%,60%,40%,57%,43%,10,19,18,10,2,3,1,3
13-14,2,1. FC Nürnberg ,Hertha BSC ,2,2,1,0,11,12,"108,06 km","106,97 km",354,363,295,292,59,71,83%,80%,50%,50%,58%,42%,16,17,17,15,0,7,4,5
13-14,2,Borussia Dortmund ,Eintracht Braunschweig ,2,1,0,0,24,8,"119,12 km","121,59 km",742,292,638,203,104,89,86%,70%,71%,29%,57%,43%,8,12,12,8,2,1,4,3
13-14,3,Borussia Dortmund ,Werder Bremen ,1,0,0,0,32,7,"115,35 km","112,93 km",540,354,433,248,107,106,80%,70%,60%,40%,45%,55%,14,13,12,14,4,2,7,2
13-14,3,Bayern München ,1. FC Nürnberg ,2,0,0,0,26,5,"116,21 km","116,9 km",752,161,680,87,72,74,90%,54%,80%,20%,48%,52%,13,9,9,13,2,3,10,1
13-14,3,Bayer 04 Leverkusen ,Bor. Mönchengladbach ,4,2,2,0,19,10,"117,89 km","116,07 km",448,662,384,589,64,73,86%,89%,41%,59%,53%,47%,10,14,13,10,2,1,7,3
13-14,3,Hannover 96 ,FC Schalke 04 ,2,1,2,0,14,9,"104,85 km","103,02 km",400,290,321,218,79,72,80%,75%,58%,42%,56%,44%,19,23,23,18,2,4,7,1
13-14,3,TSG Hoffenheim ,SC Freiburg ,3,3,2,2,15,12,"106,97 km","112,12 km",361,422,285,340,76,82,79%,81%,47%,53%,55%,45%,15,23,22,14,5,3,2,4
13-14,3,1. FSV Mainz 05 ,VfL Wolfsburg ,2,0,0,0,12,16,"118,67 km","111,96 km",393,517,336,448,57,69,85%,87%,43%,57%,49%,51%,16,15,14,16,2,3,2,5
13-14,3,Hertha BSC ,Hamburger SV ,1,0,0,0,16,15,"117,48 km","116,34 km",356,368,269,278,87,90,76%,76%,48%,52%,51%,49%,16,18,18,14,2,0,6,9
13-14,3,Eintracht Braunschweig ,Eintracht Frankfurt ,0,2,0,0,9,20,"114,12 km","108,54 km",322,515,215,390,107,125,67%,76%,39%,61%,47%,53%,12,18,14,11,3,2,2,8
13-14,3,FC Augsburg ,VfB Stuttgart ,2,1,2,1,17,9,"114,41 km","107,88 km",287,388,210,292,77,96,73%,75%,44%,56%,51%,49%,19,18,18,19,1,0,8,7
13-14,4,SC Freiburg ,Bayern München ,1,1,0,1,8,17,"127,5 km","118,1 km",272,784,187,689,85,95,69%,88%,27%,73%,48%,52%,17,10,10,16,2,1,3,6
13-14,4,Bor. Mönchengladbach ,Werder Bremen ,4,1,1,0,20,10,"117,41 km","117,52 km",619,449,546,388,73,61,88%,86%,57%,43%,59%,41%,13,13,12,13,2,1,1,5
13-14,4,Hannover 96 ,1. FSV Mainz 05 ,4,1,2,1,16,13,"112,74 km","112,77 km",370,487,291,415,79,72,79%,85%,44%,56%,43%,57%,19,10,9,19,0,2,5,3
13-14,4,VfL Wolfsburg ,Hertha BSC ,2,0,2,0,18,8,"119,32 km","116,14 km",591,318,509,236,82,82,86%,74%,64%,36%,49%,51%,16,15,13,16,3,1,2,2
13-14,4,1. FC Nürnberg ,FC Augsburg ,0,1,0,0,7,25,"113,01 km","117,93 km",397,342,303,260,94,82,76%,76%,52%,48%,59%,41%,10,17,16,10,1,2,2,12
13-14,4,Hamburger SV ,Eintracht Braunschweig ,4,0,2,0,28,16,0 km,0 km,337,286,261,194,76,92,77%,68%,54%,46%,54%,46%,19,22,22,17,0,4,7,2
13-14,4,FC Schalke 04 ,Bayer 04 Leverkusen ,2,0,1,0,12,11,"115,64 km","115,45 km",454,465,363,375,91,90,80%,81%,49%,51%,49%,51%,14,17,14,11,4,1,2,6
13-14,4,VfB Stuttgart ,TSG Hoffenheim ,6,2,3,1,13,12,"117,9 km","113,98 km",397,455,281,346,116,109,71%,76%,46%,54%,46%,54%,20,20,19,20,1,1,3,5
13-14,4,Eintracht Frankfurt ,Borussia Dortmund ,1,2,1,1,17,16,"115,57 km","121,28 km",400,416,279,319,121,97,70%,77%,50%,50%,56%,44%,6,19,16,5,2,3,8,6
13-14,5,Hertha BSC ,VfB Stuttgart ,0,1,0,0,19,8,"120,68 km","124,9 km",550,363,463,283,87,80,84%,78%,59%,41%,61%,39%,13,13,13,12,1,3,7,4
13-14,5,Bayern München ,Hannover 96 ,2,0,0,0,19,12,"117,7 km","118,46 km",640,306,554,231,86,75,87%,75%,67%,33%,50%,50%,14,13,12,14,0,1,13,4
13-14,5,Bayer 04 Leverkusen ,VfL Wolfsburg ,3,1,1,1,14,14,"113,89 km","114,66 km",341,413,265,354,76,59,78%,86%,46%,54%,48%,52%,18,12,12,18,3,2,4,3
13-14,5,Werder Bremen ,Eintracht Frankfurt ,0,3,0,2,12,14,"109,63 km","110,73 km",288,616,202,527,86,89,70%,86%,33%,67%,41%,59%,14,13,12,14,0,4,5,10
13-14,5,1. FSV Mainz 05 ,FC Schalke 04 ,0,1,0,1,14,10,"117,73 km","114,79 km",556,464,504,387,52,77,91%,83%,54%,46%,52%,48%,15,17,17,13,1,3,1,5
13-14,5,FC Augsburg ,SC Freiburg ,2,1,0,0,15,5,"116,03 km","117,62 km",469,373,370,277,99,96,79%,74%,56%,44%,57%,43%,16,21,20,14,1,1,10,3
13-14,5,Borussia Dortmund ,Hamburger SV ,6,2,2,1,33,4,"115,63 km","110,55 km",495,380,385,261,110,119,78%,69%,56%,44%,60%,40%,12,20,19,11,7,0,7,2
13-14,5,TSG Hoffenheim ,Bor. Mönchengladbach ,2,1,1,0,10,16,"126,59 km","120,04 km",313,803,218,714,95,89,70%,89%,30%,70%,42%,58%,16,7,7,15,4,4,2,3
13-14,5,Eintracht Braunschweig ,1. FC Nürnberg ,1,1,0,1,23,9,"113,84 km","112,62 km",355,299,239,213,116,86,67%,71%,55%,45%,55%,45%,17,18,18,17,6,2,6,3
13-14,6,Bor. Mönchengladbach ,Eintracht Braunschweig ,4,1,2,0,13,11,"116,65 km","118,39 km",629,407,551,338,78,69,88%,83%,60%,40%,55%,45%,11,13,13,10,3,6,0,1
13-14,6,Hannover 96 ,FC Augsburg ,2,1,0,0,16,13,"110,16 km","111,55 km",431,251,327,157,104,94,76%,63%,63%,37%,53%,47%,21,18,17,19,1,1,8,1
13-14,6,VfL Wolfsburg ,TSG Hoffenheim ,2,1,1,1,15,7,"116,48 km","116,59 km",470,299,373,212,97,87,79%,71%,61%,39%,60%,40%,15,20,20,15,3,3,6,6
13-14,6,1. FC Nürnberg ,Borussia Dortmund ,1,1,0,1,10,18,"120,12 km","119,85 km",450,501,380,404,70,97,84%,81%,48%,52%,46%,54%,7,12,12,7,2,3,3,9
13-14,6,1. FSV Mainz 05 ,Bayer 04 Leverkusen ,1,4,0,3,14,14,"113,88 km","116,07 km",435,415,371,334,64,81,85%,80%,52%,48%,42%,58%,14,11,10,13,1,1,4,4
13-14,6,Hamburger SV ,Werder Bremen ,0,2,0,1,19,16,"114,45 km","117,03 km",450,280,331,188,119,92,74%,67%,61%,39%,56%,44%,15,18,18,14,5,0,4,6
13-14,6,FC Schalke 04 ,Bayern München ,0,4,0,2,10,14,"109,89 km","116,39 km",319,747,246,652,73,95,77%,87%,31%,69%,45%,55%,7,6,6,7,3,0,5,5
13-14,6,SC Freiburg ,Hertha BSC ,1,1,1,1,8,8,"119,15 km","111,94 km",467,442,378,369,89,73,81%,83%,52%,48%,40%,60%,22,12,12,22,0,0,9,2
13-14,6,VfB Stuttgart ,Eintracht Frankfurt ,1,1,1,1,13,16,"120,62 km","116,98 km",400,443,310,367,90,76,78%,83%,48%,52%,50%,50%,11,13,13,11,5,1,4,7
13-14,7,FC Augsburg ,Bor. Mönchengladbach ,2,2,1,1,20,9,"117,41 km","114,67 km",469,446,384,365,85,81,82%,82%,51%,49%,45%,55%,9,13,13,8,0,0,3,3
13-14,7,Borussia Dortmund ,SC Freiburg ,5,0,2,0,28,2,"117,25 km","112,97 km",614,397,515,299,99,98,84%,75%,60%,40%,52%,48%,13,11,10,12,3,0,9,0
13-14,7,Bayern München ,VfL Wolfsburg ,1,0,0,0,11,4,"115,6 km","119,74 km",591,243,519,171,72,72,88%,70%,70%,30%,48%,52%,12,24,23,12,3,3,8,2
13-14,7,Bayer 04 Leverkusen ,Hannover 96 ,2,0,2,0,19,8,"115,25 km","112,89 km",410,429,334,352,76,77,81%,82%,48%,52%,52%,48%,12,17,17,12,1,2,4,9
13-14,7,TSG Hoffenheim ,FC Schalke 04 ,3,3,1,3,14,12,"111,65 km","109,28 km",382,425,288,332,94,93,75%,78%,47%,53%,52%,48%,21,24,22,21,3,3,2,7
13-14,7,Hertha BSC ,1. FSV Mainz 05 ,3,1,0,1,9,8,"119,92 km","118,37 km",511,295,427,201,84,94,84%,68%,63%,37%,49%,51%,27,20,20,25,4,3,5,5
13-14,7,Eintracht Frankfurt ,Hamburger SV ,2,2,1,1,9,11,"115,44 km","119,74 km",466,360,380,287,86,73,82%,80%,56%,44%,47%,53%,21,16,16,21,4,2,9,6
13-14,7,Werder Bremen ,1. FC Nürnberg ,3,3,2,1,15,17,"118,17 km","119,25 km",418,390,307,286,111,104,73%,73%,51%,49%,47%,53%,16,9,8,16,2,2,4,4
13-14,7,Eintracht Braunschweig ,VfB Stuttgart ,0,4,0,1,10,14,"115,2 km","117,96 km",439,476,325,372,114,104,74%,78%,48%,52%,51%,49%,11,19,19,10,5,1,8,3
13-14,8,Hannover 96 ,Hertha BSC ,1,1,1,0,14,10,"113,86 km","116,4 km",374,347,287,268,87,79,77%,77%,51%,49%,52%,48%,18,21,20,17,0,2,7,9
13-14,8,FC Schalke 04 ,FC Augsburg ,4,1,2,1,12,10,"112,97 km","106,66 km",717,295,648,220,69,75,90%,75%,70%,30%,52%,48%,9,10,10,9,2,3,2,3
13-14,8,Bor. Mönchengladbach ,Borussia Dortmund ,2,0,0,0,6,27,"117,03 km","118,05 km",429,586,338,502,91,84,79%,86%,43%,57%,57%,43%,8,9,8,8,0,1,1,9
13-14,8,VfB Stuttgart ,Werder Bremen ,1,1,1,1,20,6,0 km,0 km,580,257,497,164,83,93,86%,64%,69%,31%,58%,42%,11,11,10,9,3,0,13,1
13-14,8,VfL Wolfsburg ,Eintracht Braunschweig ,0,2,0,1,17,7,"117,28 km","122,7 km",495,243,414,159,81,84,84%,65%,67%,33%,57%,43%,18,26,24,17,5,2,7,2
13-14,8,1. FSV Mainz 05 ,TSG Hoffenheim ,2,2,0,2,18,14,"122,99 km","120,67 km",441,374,325,258,116,116,74%,69%,54%,46%,50%,50%,23,16,16,22,9,4,7,1
13-14,8,Bayer 04 Leverkusen ,Bayern München ,1,1,1,1,5,27,"114,89 km","111,38 km",191,709,122,641,69,68,64%,90%,22%,78%,46%,54%,15,8,7,15,2,1,2,14
13-14,8,1. FC Nürnberg ,Hamburger SV ,0,5,0,1,7,16,"115,34 km","117,29 km",486,472,412,403,74,69,85%,85%,51%,49%,55%,45%,16,15,14,15,1,1,5,4
13-14,8,SC Freiburg ,Eintracht Frankfurt ,1,1,0,0,13,11,"121,38 km","112,24 km",440,396,366,305,74,91,83%,77%,53%,47%,56%,44%,12,20,20,11,1,3,7,10
13-14,9,TSG Hoffenheim ,Bayer 04 Leverkusen ,1,2,0,1,20,12,"121,41 km","119,66 km",497,439,421,355,76,84,85%,81%,52%,48%,54%,46%,13,19,18,13,2,2,8,10
13-14,9,Borussia Dortmund ,Hannover 96 ,1,0,1,0,18,10,"123,4 km","121,32 km",432,399,323,313,109,86,75%,78%,52%,48%,55%,45%,11,15,15,11,2,1,10,2
13-14,9,Bayern München ,1. FSV Mainz 05 ,4,1,0,1,19,12,"115,29 km","116,46 km",832,225,727,148,105,77,87%,66%,78%,22%,56%,44%,12,14,14,11,2,7,8,5
13-14,9,Werder Bremen ,SC Freiburg ,0,0,0,0,18,11,"119,37 km","122,26 km",403,416,303,329,100,87,75%,79%,49%,51%,46%,54%,22,12,11,21,1,5,7,8
13-14,9,Eintracht Braunschweig ,FC Schalke 04 ,2,3,1,1,14,15,"121,3 km","119,79 km",292,630,212,542,80,88,73%,86%,32%,68%,51%,49%,13,21,18,13,4,2,1,9
13-14,9,Eintracht Frankfurt ,1. FC Nürnberg ,1,1,0,0,15,11,"116,6 km","121,17 km",529,332,438,261,91,71,83%,79%,61%,39%,47%,53%,22,14,12,21,1,3,6,1
13-14,9,Hertha BSC ,Bor. Mönchengladbach ,1,0,1,0,5,13,"120,7 km","117,73 km",422,558,323,467,99,91,77%,84%,44%,56%,52%,48%,15,14,13,13,3,3,7,5
13-14,9,Hamburger SV ,VfB Stuttgart ,3,3,1,2,22,9,"115,67 km","116,62 km",521,467,448,390,73,77,86%,84%,53%,47%,56%,44%,17,12,11,16,4,2,10,0
13-14,9,FC Augsburg ,VfL Wolfsburg ,1,2,1,2,11,12,"120,65 km","122,49 km",404,369,297,281,107,88,74%,76%,53%,47%,40%,60%,21,18,17,21,4,1,3,2
13-14,10,VfB Stuttgart ,1. FC Nürnberg ,1,1,1,1,10,7,"118,52 km","121,55 km",500,306,400,227,100,79,80%,74%,61%,39%,53%,47%,11,15,15,11,4,3,2,4
13-14,10,Bayern München ,Hertha BSC ,3,2,1,1,13,10,"117,04 km","120,48 km",647,313,549,231,98,82,85%,74%,67%,33%,47%,53%,10,13,13,10,3,2,4,5
13-14,10,FC Schalke 04 ,Borussia Dortmund ,1,3,0,1,12,10,"109,73 km","114,86 km",542,411,422,311,120,100,78%,76%,57%,43%,52%,48%,11,12,12,10,2,2,2,2
13-14,10,Bayer 04 Leverkusen ,FC Augsburg ,2,1,1,1,24,11,"114,97 km",118 km,444,310,358,220,86,90,81%,71%,58%,42%,61%,39%,7,9,9,7,3,0,13,7
13-14,10,Hannover 96 ,TSG Hoffenheim ,1,4,0,2,11,10,"102,04 km","112,75 km",271,617,186,541,85,76,69%,88%,32%,68%,41%,59%,21,11,10,20,2,7,8,1
13-14,10,1. FSV Mainz 05 ,Eintracht Braunschweig ,2,0,1,0,9,6,"116,08 km","117,89 km",359,487,277,395,82,92,77%,81%,41%,59%,51%,49%,25,17,17,25,4,2,0,8
13-14,10,VfL Wolfsburg ,Werder Bremen ,3,0,1,0,19,8,"115,3 km","118,23 km",423,373,341,270,82,103,81%,72%,53%,47%,55%,45%,12,17,15,12,6,3,5,4
13-14,10,SC Freiburg ,Hamburger SV ,0,3,0,1,9,17,"115,58 km","114,5 km",455,348,357,259,98,89,78%,74%,57%,43%,51%,49%,14,12,12,14,2,1,4,4
13-14,10,Bor. Mönchengladbach ,Eintracht Frankfurt ,4,1,2,1,13,11,"116,22 km","113,55 km",709,429,624,357,85,72,88%,83%,61%,39%,40%,60%,9,13,12,9,3,4,1,3
13-14,11,Borussia Dortmund ,VfB Stuttgart ,6,1,2,1,17,3,"120,16 km","117,97 km",535,478,428,370,107,108,80%,77%,53%,47%,45%,55%,15,4,4,15,3,1,6,1
13-14,11,1. FC Nürnberg ,SC Freiburg ,0,3,0,0,21,14,"119,85 km","124,26 km",482,336,401,248,81,88,83%,74%,60%,40%,52%,48%,10,15,15,10,4,1,9,5
13-14,11,TSG Hoffenheim ,Bayern München ,1,2,1,1,7,17,"119,65 km","116,59 km",347,656,264,589,83,67,76%,90%,37%,63%,45%,55%,20,16,16,20,3,2,6,4
13-14,11,Hamburger SV ,Bor. Mönchengladbach ,0,2,0,1,17,8,"119,96 km","120,15 km",547,526,459,441,88,85,84%,84%,52%,48%,52%,48%,12,12,12,11,0,2,7,2
13-14,11,Eintracht Braunschweig ,Bayer 04 Leverkusen ,1,0,0,0,17,17,"118,39 km","113,47 km",327,453,255,371,72,82,78%,82%,43%,57%,49%,51%,12,21,20,11,5,4,4,4
13-14,11,Hertha BSC ,FC Schalke 04 ,0,2,0,1,18,11,"120,35 km","120,7 km",521,370,427,265,94,105,82%,72%,58%,42%,47%,53%,21,18,17,21,1,4,6,4
13-14,11,Eintracht Frankfurt ,VfL Wolfsburg ,1,2,1,1,10,10,"114,13 km","117,44 km",442,393,338,297,104,96,76%,76%,54%,46%,42%,58%,14,16,15,13,4,1,8,1
13-14,11,FC Augsburg ,1. FSV Mainz 05 ,2,1,1,0,19,11,"125,42 km","121,07 km",511,330,424,254,87,76,83%,77%,61%,39%,48%,52%,13,21,19,13,1,2,6,3
13-14,11,Werder Bremen ,Hannover 96 ,3,2,2,2,12,18,"115,12 km","115,85 km",356,300,251,183,105,117,71%,61%,54%,46%,50%,50%,19,24,24,17,10,3,3,6
13-14,12,Hannover 96 ,Eintracht Braunschweig ,0,0,0,0,19,7,"111,28 km","115,98 km",421,319,318,210,103,109,76%,66%,57%,43%,46%,54%,27,16,15,27,0,1,6,2
13-14,12,Bayern München ,FC Augsburg ,3,0,2,0,23,7,"119,19 km","123,8 km",737,263,675,207,62,56,92%,79%,72%,28%,56%,44%,12,11,10,12,0,4,9,4
13-14,12,FC Schalke 04 ,Werder Bremen ,3,1,0,1,18,9,"118,02 km","121,67 km",545,321,426,221,119,100,78%,69%,62%,38%,52%,48%,16,20,20,15,2,1,6,2
13-14,12,Bayer 04 Leverkusen ,Hamburger SV ,5,3,2,1,20,11,"116,02 km","116,79 km",387,435,299,327,88,108,77%,75%,46%,54%,53%,47%,12,19,18,11,1,0,3,6
13-14,12,VfL Wolfsburg ,Borussia Dortmund ,2,1,0,1,10,12,"114,63 km","116,52 km",346,469,239,349,107,120,69%,74%,43%,57%,55%,45%,14,19,18,14,2,3,5,2
13-14,12,TSG Hoffenheim ,Hertha BSC ,2,3,0,1,9,12,"119,36 km","118,85 km",499,349,383,244,116,105,77%,70%,59%,41%,49%,51%,22,20,20,22,3,3,3,3
13-14,12,Bor. Mönchengladbach ,1. FC Nürnberg ,3,1,0,1,12,19,"120,84 km","127,3 km",547,331,471,250,76,81,86%,76%,61%,39%,46%,54%,8,18,17,7,1,2,6,3
13-14,12,1. FSV Mainz 05 ,Eintracht Frankfurt ,1,0,0,0,20,14,"121,99 km","117,5 km",305,533,236,438,69,95,77%,82%,37%,63%,53%,47%,21,18,18,20,4,2,6,6
13-14,12,SC Freiburg ,VfB Stuttgart ,1,3,0,2,19,10,"128,05 km","123,74 km",510,458,424,378,86,80,83%,83%,52%,48%,51%,49%,7,13,12,7,1,7,7,2
13-14,13,VfB Stuttgart ,Bor. Mönchengladbach ,0,2,0,1,8,19,"120,42 km","120,02 km",532,559,423,453,109,106,80%,81%,49%,51%,42%,58%,14,10,10,13,1,2,1,5
13-14,13,1. FC Nürnberg ,VfL Wolfsburg ,1,1,0,1,11,23,"121,44 km","118,77 km",364,424,262,314,102,110,72%,74%,46%,54%,51%,49%,20,17,16,20,2,0,3,5
13-14,13,FC Augsburg ,TSG Hoffenheim ,2,0,2,0,16,8,"119,71 km","118,08 km",466,383,339,282,127,101,73%,74%,54%,46%,58%,42%,14,25,24,14,3,0,5,4
13-14,13,Eintracht Braunschweig ,SC Freiburg ,0,1,0,0,22,8,"119,48 km","122,51 km",521,468,431,364,90,104,83%,78%,53%,47%,48%,52%,14,17,15,14,4,1,6,1
13-14,13,Eintracht Frankfurt ,FC Schalke 04 ,3,3,0,2,15,13,"117,06 km","112,27 km",393,457,300,372,93,85,76%,81%,47%,53%,48%,52%,22,20,19,21,2,3,5,1
13-14,13,Hertha BSC ,Bayer 04 Leverkusen ,0,1,0,1,12,4,"121,86 km","119,04 km",523,309,429,218,94,91,82%,71%,63%,37%,46%,54%,15,15,14,15,1,4,9,1
13-14,13,Borussia Dortmund ,Bayern München ,0,3,0,0,7,10,"119,85 km","117,28 km",335,591,241,497,94,94,72%,84%,37%,63%,54%,46%,7,13,12,7,1,5,2,3
13-14,13,Hamburger SV ,Hannover 96 ,3,1,1,1,19,12,"114,6 km","115,02 km",399,342,292,257,107,85,73%,75%,52%,48%,55%,45%,19,24,22,19,1,4,7,3
13-14,13,Werder Bremen ,1. FSV Mainz 05 ,2,3,0,2,24,18,"117,58 km","120,41 km",455,257,348,174,107,83,76%,68%,64%,36%,54%,46%,18,22,21,18,0,4,8,8
13-14,14,VfL Wolfsburg ,Hamburger SV ,1,1,1,1,20,18,"118,06 km","115,54 km",474,316,363,230,111,86,77%,73%,59%,41%,55%,45%,16,12,10,15,0,2,2,3
13-14,14,Bayern München ,Eintracht Braunschweig ,2,0,2,0,19,8,"113,88 km","115,99 km",898,246,811,172,87,74,90%,70%,78%,22%,62%,38%,9,17,16,9,2,0,6,3
13-14,14,Bayer 04 Leverkusen ,1. FC Nürnberg ,3,0,1,0,17,16,"117,05 km","119,54 km",409,391,323,298,86,93,79%,76%,51%,49%,52%,48%,18,14,11,18,1,0,4,5
13-14,14,TSG Hoffenheim ,Werder Bremen ,4,4,2,2,18,13,"121,39 km","119,24 km",436,336,326,207,110,129,75%,62%,56%,44%,45%,55%,28,20,20,24,7,6,3,9
13-14,14,1. FSV Mainz 05 ,Borussia Dortmund ,1,3,0,0,12,16,"121,74 km","123,15 km",406,511,308,406,98,105,76%,79%,45%,55%,51%,49%,11,15,15,10,4,3,6,5
13-14,14,Hertha BSC ,FC Augsburg ,0,0,0,0,9,2,"119,16 km","119,77 km",545,347,446,241,99,106,82%,69%,61%,39%,53%,47%,16,22,21,15,3,3,6,3
13-14,14,FC Schalke 04 ,VfB Stuttgart ,3,0,1,0,12,10,"117,85 km","115,35 km",369,479,263,382,106,97,71%,80%,43%,57%,48%,52%,15,17,16,15,6,3,5,2
13-14,14,Hannover 96 ,Eintracht Frankfurt ,2,0,1,0,13,12,"115,48 km","110,66 km",419,355,330,259,89,96,79%,73%,54%,46%,55%,45%,20,18,18,20,6,1,7,7
13-14,14,Bor. Mönchengladbach ,SC Freiburg ,1,0,0,0,12,9,"117,77 km","123,96 km",700,414,600,324,100,90,86%,78%,62%,38%,56%,44%,8,13,12,6,7,3,6,4
13-14,15,1. FC Nürnberg ,1. FSV Mainz 05 ,1,1,1,0,16,12,"120,97 km","119,55 km",504,329,394,232,110,97,78%,71%,61%,39%,55%,45%,6,11,9,6,5,4,14,3
13-14,15,Bor. Mönchengladbach ,FC Schalke 04 ,2,1,2,1,19,9,"116,35 km","114,6 km",573,475,501,393,72,82,87%,83%,55%,45%,47%,53%,11,17,15,11,2,2,8,1
13-14,15,VfB Stuttgart ,Hannover 96 ,4,2,2,2,13,14,"120,26 km","111,28 km",388,427,256,299,132,128,66%,70%,48%,52%,50%,50%,15,20,17,14,4,2,3,3
13-14,15,Werder Bremen ,Bayern München ,0,7,0,3,9,17,"115,99 km","112,28 km",247,712,162,640,85,72,66%,90%,26%,74%,56%,44%,13,15,15,12,3,2,2,7
13-14,15,Hamburger SV ,FC Augsburg ,0,1,0,1,8,18,"114,03 km","121,3 km",435,396,335,296,100,100,77%,75%,53%,47%,47%,53%,17,17,17,14,0,1,7,11
13-14,15,Eintracht Frankfurt ,TSG Hoffenheim ,1,2,0,0,13,11,"114,74 km","117,45 km",528,366,407,252,121,114,77%,69%,59%,41%,50%,50%,21,27,26,21,2,3,4,4
13-14,15,Borussia Dortmund ,Bayer 04 Leverkusen ,0,1,0,1,13,8,"117,96 km","115,28 km",438,354,339,254,99,100,77%,72%,55%,45%,49%,51%,18,25,23,17,2,2,3,4
13-14,15,SC Freiburg ,VfL Wolfsburg ,0,3,0,2,13,17,"122,22 km","120,87 km",519,320,396,210,123,110,76%,66%,61%,39%,43%,57%,10,16,16,10,3,3,4,7
13-14,15,Eintracht Braunschweig ,Hertha BSC ,0,2,0,1,13,16,"112,28 km","112,38 km",411,346,286,234,125,112,70%,68%,54%,46%,57%,43%,18,24,22,17,3,1,8,2
13-14,16,Hertha BSC ,Werder Bremen ,3,2,2,2,12,8,"118,38 km","115,59 km",408,320,295,207,113,113,72%,65%,56%,44%,50%,50%,14,21,20,13,1,1,6,4
13-14,16,Bayern München ,Hamburger SV ,3,1,1,0,22,13,"117,79 km","118,52 km",788,249,706,185,82,64,90%,74%,75%,25%,52%,48%,13,15,11,11,2,4,5,2
